Designator,Mid X,Mid Y,Rotation,Layer
C2_4,103.5,-103.1005,270.0,top
C2_3,46.5,-103.1005,270.0,top
C2_2,103.5,-46.1005,270.0,top
C2,46.5,-46.1005,270.0,top
C3_4,81.0,-58.5005,180.0,top
C3_3,81.0,-115.5005,180.0,top
C3_2,24.0,-115.5005,180.0,top
C3,24.0,-58.5005,180.0,top
C4_4,24.0,-113.9005,180.0,top
C4_3,81.0,-56.9005,180.0,top
C4_2,24.0,-56.9005,180.0,top
C4,81.0,-113.9005,180.0,top
C5_4,33.475,-56.9005,0.0,top
C5_3,90.475,-56.9005,0.0,top
C5_2,90.475,-113.9005,0.0,top
C5,33.475,-113.9005,0.0,top
C6_4,90.475,-115.4005,0.0,top
C6_3,33.475,-58.4005,0.0,top
C6_2,90.475,-58.4005,0.0,top
C6,33.475,-115.4005,0.0,top
C7_4,87.5,-51.1505,0.0,top
C7_3,30.5,-108.1505,0.0,top
C7_2,87.5,-108.1505,0.0,top
C7,30.5,-51.1505,0.0,top
D1_4,17.6,-52.0005,270.0,top
D1_3,74.6,-109.0005,270.0,top
D1_2,74.6,-52.0005,270.0,top
D1,17.6,-109.0005,270.0,top
D3_4,30.0375,-102.038,90.0,top
D3_3,87.0375,-102.038,90.0,top
D3_2,30.0375,-45.038,90.0,top
D3,87.0375,-45.038,90.0,top
D4_4,96.8,-45.0505,90.0,top
D4_3,96.8,-102.0505,90.0,top
D4_2,39.8,-45.0505,90.0,top
D4,39.8,-102.0505,90.0,top
H1_4,95.0,-11.5005,0.0,top
H1_3,38.0,-68.5005,0.0,top
H1_2,38.0,-11.5005,0.0,top
H1,95.0,-68.5005,0.0,top
H2_4,75.0,-11.5005,0.0,top
H2_3,18.0,-68.5005,0.0,top
H2_2,18.0,-11.5005,0.0,top
H2,75.0,-68.5005,0.0,top
H3_4,61.0,-115.0005,0.0,top
H3_3,4.0,-58.0005,0.0,top
H3_2,61.0,-58.0005,0.0,top
H3,4.0,-115.0005,0.0,top
H4_4,51.0,-115.0005,0.0,top
H4_3,108.0,-115.0005,0.0,top
H4_2,108.0,-58.0005,0.0,top
H4,51.0,-58.0005,0.0,top
H5_4,51.0,-11.0005,0.0,top
H5_3,108.0,-11.0005,0.0,top
H5_2,51.0,-68.0005,0.0,top
H5,108.0,-68.0005,0.0,top
H6_4,4.0,-68.0005,0.0,top
H6_3,61.0,-11.0005,0.0,top
H6_2,4.0,-11.0005,0.0,top
H6,61.0,-68.0005,0.0,top
J1_4,15.0,-114.1855,0.0,top
J1_3,15.0,-57.1855,0.0,top
J1_2,72.0,-114.1855,0.0,top
J1,72.0,-57.1855,0.0,top
J2_4,108.3,-47.4005,90.0,top
J2_3,51.3,-104.4005,90.0,top
J2_2,51.3,-47.4005,90.0,top
J2,108.3,-104.4005,90.0,top
KIKIT_FID_B_1,5.0,-2.5,0.0,bottom
KIKIT_FID_B_2,107.0,-2.5,0.0,bottom
KIKIT_FID_B_3,5.0,-123.5015,0.0,bottom
KIKIT_FID_T_1,5.0,-2.5,0.0,top
KIKIT_FID_T_2,107.0,-2.5,0.0,top
KIKIT_FID_T_3,5.0,-123.5015,0.0,top
KIKIT_TO_1,2.5,-2.5,0.0,top
KIKIT_TO_2,109.5,-2.5,0.0,top
KIKIT_TO_3,2.5,-123.5015,0.0,top
L1_4,28.7,-57.6505,0.0,top
L1_3,85.7,-57.6505,0.0,top
L1_2,28.7,-114.6505,0.0,top
L1,85.7,-114.6505,0.0,top
LOGO1_4,90.345777,-32.890719,0.0,bottom
LOGO1_3,33.345777,-89.890719,0.0,bottom
LOGO1_2,90.345777,-89.890719,0.0,bottom
LOGO1,33.345777,-32.890719,0.0,bottom
LOGO3_4,23.009237,-90.238602,0.0,bottom
LOGO3_3,80.009237,-90.238602,0.0,bottom
LOGO3_2,80.009237,-33.238602,0.0,bottom
LOGO3,23.009237,-33.238602,0.0,bottom
LOGO4_4,6.427905,-104.6005,0.0,top
LOGO4_3,63.427905,-104.6005,0.0,top
LOGO4_2,63.427905,-47.6005,0.0,top
LOGO4,6.427905,-47.6005,0.0,top
PS1_4,80.25,-25.1255,180.0,top
PS1_3,80.25,-82.1255,180.0,top
PS1_2,23.25,-82.1255,180.0,top
PS1,23.25,-25.1255,180.0,top
R1_4,73.2,-51.9005,90.0,top
R1_3,73.2,-108.9005,90.0,top
R1_2,16.2,-108.9005,90.0,top
R1,16.2,-51.9005,90.0,top
R2_4,14.2,-108.9005,90.0,top
R2_3,71.2,-108.9005,90.0,top
R2_2,71.2,-51.9005,90.0,top
R2,14.2,-51.9005,90.0,top
R3_4,32.0375,-102.038,90.0,top
R3_3,89.0375,-45.038,90.0,top
R3_2,89.0375,-102.038,90.0,top
R3,32.0375,-45.038,90.0,top
R4_4,98.8,-102.0505,90.0,top
R4_3,98.8,-45.0505,90.0,top
R4_2,41.8,-102.0505,90.0,top
R4,41.8,-45.0505,90.0,top
S1_4,28.0,-10.0005,0.0,bottom
S1_3,28.0,-67.0005,0.0,bottom
S1_2,85.0,-67.0005,0.0,bottom
S1,85.0,-10.0005,0.0,bottom
S2_4,85.0,-67.0005,0.0,top
S2_3,28.0,-67.0005,0.0,top
S2_2,28.0,-10.0005,0.0,top
S2,85.0,-10.0005,0.0,top
TP2_4,79.9,-110.7005,0.0,bottom
TP2_3,79.9,-53.7005,0.0,bottom
TP2_2,22.9,-53.7005,0.0,bottom
TP2,22.9,-110.7005,0.0,bottom
