Designator,Footprint,Quantity,Value,LCSC Part #
C2,0603,1,22uF,C2762594
"C3, C4, C5, C6",0603,4,10uF,C92487
C7,CP_Elec_6.3x7.7,1,100uF,C3339
D1,D_SOD-123F,1,SMF6V5A,C2943842
"D3, D4",0805,2,Green,C965815
J1,GCT_USB4105-GF-A,1,USB_C_PowerOnly_6P,C165948
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Power,C2763614
L1,L_Sunlord_MWSA0402S,1,2.2u,C408335
PS1,Converter_ACDC_MeanWell_IRM-10-xx_THT,1,IRM-10-5,C2857903
"R1, R2",0603,2,5.1K,C2907114
R3,0603,1,4.7k,C2907166
R4,0603,1,1k,C2907113
U1,TO-252-2,1,AZ1084-3.3,C151391
U2,SOTFL50P160X60-8N,1,LM66200DRLR,C3235556
