Designator,Mid X,Mid Y,Rotation,Layer
C2,87.6,-148.5,180.0,top
C3,74.0,-161.7,180.0,top
C4,74.0,-160.1,180.0,top
C5,80.6,-156.9,90.0,top
C6,82.1,-156.9,90.0,top
C7,87.0,-160.9,180.0,top
D1,68.7,-154.4,90.0,top
D3,79.1,-148.6,90.0,top
D4,93.1,-147.5,270.0,top
FID1,54.0,-156.0,0.0,top
FID2,96.0,-114.0,0.0,top
FID3,59.0,-114.0,0.0,top
H1,88.0,-114.5,0.0,top
H2,68.0,-114.5,0.0,top
H3,54.0,-161.0,0.0,top
H4,101.0,-161.0,0.0,top
H5,101.0,-114.0,0.0,top
H6,54.0,-114.0,0.0,top
J1,65.0,-161.085,0.0,top
J2,101.3,-150.4,90.0,top
L1,78.7,-160.9,0.0,top
LOGO2,100.5,-137.469017,0.0,top
LOGO3,100.5,-130.0,0.0,top
LOGO4,100.5,-131.5,0.0,top
LOGO5,100.5,-139.469017,0.0,top
PS1,73.275,-128.125,180.0,top
R1,66.2,-155.8,90.0,top
R2,64.2,-155.8,90.0,top
R3,81.2,-148.6,90.0,top
R4,91.1,-147.5,270.0,top
S1,77.5,-113.0,0.0,top
TP2,73.0,-156.05,0.0,top
U1,90.6,-153.0,0.0,top
U2,65.3,-147.9,180.0,top
